time;random
0:47.380667;1
0:47.414033;1
0:47.447400;1
0:47.480767;1
0:47.514133;1
0:47.547500;1
0:47.580867;1
0:47.614233;1
0:47.647600;1
0:47.680967;1
0:47.714333;1
0:47.747700;1
0:47.781067;1
0:47.814433;1
0:47.847800;1
0:47.881167;1
0:47.914533;1
0:47.947900;1
0:47.981267;1
0:48.014633;1
0:48.048000;1
0:48.081367;1
0:48.114733;1
0:48.148100;1
0:48.181467;1
0:48.214833;1
0:48.248200;1
0:48.281567;1
0:48.314933;1
0:48.348300;1
0:48.381667;1
0:48.415033;1
0:48.448400;1
0:48.481767;1
0:48.515133;1
0:48.548500;1
0:48.581867;1
0:48.615233;1
0:48.648600;1
0:48.681967;1
0:48.715333;1
0:48.748700;1
0:48.782067;1
0:48.815433;1
0:48.848800;1
0:48.882167;1
0:48.915533;1
0:48.948900;1
0:48.982267;1
0:49.015633;1
0:49.282567;1
0:49.315933;1
0:49.349300;1
0:49.416033;1
0:49.449400;1
0:49.482767;1
0:49.516133;1
0:49.549500;1
0:49.582867;1
0:49.616233;1
0:49.649600;1
0:49.716333;1
0:49.749700;1
0:49.783067;1
0:49.816433;1
0:49.849800;1
0:49.916533;1
0:49.949900;1
0:49.983267;1
0:50.016633;1
0:50.050000;1
0:50.316933;1
0:50.350300;1
0:50.550500;1
0:50.583867;1
0:50.617233;1
0:50.683967;1
0:50.717333;1
0:50.750700;1
0:50.784067;1
0:50.817433;1
0:50.850800;1
0:50.917533;1
0:50.950900;1
0:50.984267;1
0:51.017633;1
0:51.051000;1
0:51.084367;1
0:51.117733;1
0:51.184467;1
0:51.217833;1
0:51.284567;1
0:51.317933;1
0:51.351300;1
0:51.384667;1
0:51.451400;1
0:51.484767;1
0:51.518133;1
0:51.551500;1
0:51.584867;1
0:51.618233;1
0:51.651600;1
0:51.684967;1
0:51.718333;1
0:51.751700;1
0:51.785067;1
0:51.818433;1
0:51.851800;1
0:51.885167;1
0:51.918533;1
0:51.951900;1
0:51.985267;1
0:52.018633;1
0:52.052000;1
0:52.085367;1
0:52.118733;1
0:52.152100;1
0:52.185467;1
0:52.218833;1
0:52.252200;1
0:52.285567;1
0:52.318933;1
0:52.352300;1
0:52.385667;1
0:52.419033;1
0:52.452400;1
0:52.485767;1
0:52.519133;1
0:52.552500;1
0:52.585867;1
0:52.619233;1
0:52.652600;1
0:52.685967;1
0:52.719333;1
0:52.752700;1
0:52.786067;1
0:52.819433;1
0:52.852800;1
0:52.886167;1
0:52.919533;1
0:52.952900;1
0:52.986267;1
0:53.019633;1
0:53.053000;1
0:53.086367;1
0:53.119733;1
0:53.153100;1
0:53.186467;1
0:53.219833;1
0:53.253200;1
0:53.286567;1
0:53.319933;1
0:53.353300;1
0:53.386667;1
0:53.420033;1
0:53.453400;1
0:53.486767;1
0:53.520133;1
0:53.553500;1
0:53.586867;1
0:53.620233;1
0:53.720333;1
0:53.753700;1
0:53.987267;1
0:54.020633;1
0:54.054000;1
0:54.087367;1
0:54.154100;1
0:54.220833;1
0:54.287567;1
0:54.354300;1
0:54.387667;1
0:54.421033;1
0:54.487767;1
0:54.587867;1
0:54.621233;1
0:54.654600;1
0:54.687967;1
0:54.754700;1
0:54.788067;1
0:54.821433;1
0:54.854800;1
0:54.888167;1
0:54.921533;1
0:54.954900;1
0:54.988267;1
0:55.021633;1
0:55.055000;1
0:55.088367;1
0:55.121733;1
0:55.155100;1
0:55.221833;1
0:55.255200;1
0:55.288567;1
0:55.321933;1
0:55.355300;1
0:55.388667;1
0:55.422033;1
0:55.455400;1
0:55.488767;1
0:55.522133;1
0:55.555500;1
0:55.588867;1
0:55.622233;1
0:55.655600;1
0:55.688967;1
0:55.789067;1
0:55.822433;1
0:55.855800;1
0:55.889167;1
0:55.922533;1
0:55.989267;1
0:56.089367;1
0:56.122733;1
0:56.156100;1
0:56.189467;1
0:56.222833;1
0:56.256200;1
0:56.289567;1
0:56.356300;1
0:56.389667;1
0:56.423033;1
0:56.456400;1
0:56.489767;1
0:56.523133;1
0:56.556500;1
0:56.589867;1
0:56.623233;1
0:56.656600;1
0:56.689967;1
0:56.723333;1
0:56.756700;1
0:56.790067;1
0:56.823433;1
0:56.856800;1
0:56.890167;1
0:56.923533;1
0:57.023633;1
0:57.057000;1
0:57.891167;1
0:57.924533;1
